source_type,category,subcategory
STATIONARY,FUEL COMBUSTION,ELECTRIC UTILITIES
STATIONARY,FUEL COMBUSTION,COGENERATION
STATIONARY,FUEL COMBUSTION,OIL AND GAS PRODUCTION (COMBUSTION)
STATIONARY,FUEL COMBUSTION,PETROLEUM REFINING (COMBUSTION)
STATIONARY,FUEL COMBUSTION,MANUFACTURING AND INDUSTRIAL
STATIONARY,FUEL COMBUSTION,FOOD AND AGRICULTURAL PROCESSING
STATIONARY,FUEL COMBUSTION,SERVICE AND COMMERCIAL
STATIONARY,FUEL COMBUSTION,OTHER (FUEL COMBUSTION)
STATIONARY,WASTE DISPOSAL,SEWAGE TREATMENT
STATIONARY,WASTE DISPOSAL,LANDFILLS
STATIONARY,WASTE DISPOSAL,INCINERATORS
STATIONARY,WASTE DISPOSAL,SOIL REMEDIATION
STATIONARY,WASTE DISPOSAL,OTHER (WASTE DISPOSAL)
STATIONARY,CLEANING AND SURFACE COATINGS,LAUNDERING
STATIONARY,CLEANING AND SURFACE COATINGS,DEGREASING
STATIONARY,CLEANING AND SURFACE COATINGS,COATINGS AND RELATED PROCESS SOLVENTS
STATIONARY,CLEANING AND SURFACE COATINGS,PRINTING
STATIONARY,CLEANING AND SURFACE COATINGS,ADHESIVES AND SEALANTS
STATIONARY,CLEANING AND SURFACE COATINGS,OTHER (CLEANING AND SURFACE COATINGS)
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OIL AND GAS PRODUCTION
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM REFINING
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,PETROLEUM MARKETING
STATIONARY,PETROLEUM PRODUCTION AND MARKETING,OTHER (PETROLEUM PRODUCTION AND MARKETING)
STATIONARY,INDUSTRIAL PROCESSES,CHEMICAL
STATIONARY,INDUSTRIAL PROCESSES,FOOD AND AGRICULTURE
STATIONARY,INDUSTRIAL PROCESSES,MINERAL PROCESSES
STATIONARY,INDUSTRIAL PROCESSES,METAL PROCESSES
STATIONARY,INDUSTRIAL PROCESSES,WOOD AND PAPER
STATIONARY,INDUSTRIAL PROCESSES,GLASS AND RELATED PRODUCTS
STATIONARY,INDUSTRIAL PROCESSES,ELECTRONICS
STATIONARY,INDUSTRIAL PROCESSES,OTHER (INDUSTRIAL PROCESSES)
AREAWIDE,SOLVENT EVAPORATION,CONSUMER PRODUCTS
AREAWIDE,SOLVENT EVAPORATION,ARCHITECTURAL COATINGS AND RELATED PROCESS SOLVENTS
AREAWIDE,SOLVENT EVAPORATION,PESTICIDES/FERTILIZERS
AREAWIDE,SOLVENT EVAPORATION,ASPHALT PAVING / ROOFING
AREAWIDE,MISCELLANEOUS PROCESSES,RESIDENTIAL FUEL COMBUSTION
AREAWIDE,MISCELLANEOUS PROCESSES,FARMING OPERATIONS
AREAWIDE,MISCELLANEOUS PROCESSES,CONSTRUCTION AND DEMOLITION
AREAWIDE,MISCELLANEOUS PROCESSES,PAVED ROAD DUST
AREAWIDE,MISCELLANEOUS PROCESSES,UNPAVED ROAD DUST
AREAWIDE,MISCELLANEOUS PROCESSES,FUGITIVE WINDBLOWN DUST
AREAWIDE,MISCELLANEOUS PROCESSES,FIRES
AREAWIDE,MISCELLANEOUS PROCESSES,MANAGED BURNING AND DISPOSAL
AREAWIDE,MISCELLANEOUS PROCESSES,COOKING
AREAWIDE,MISCELLANEOUS PROCESSES,OTHER (MISCELLANEOUS PROCESSES)
MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA)
